text_input,palette,palette_lab,palette_lab_reorder
"['dull', 'pastel']","[(253, 229, 131), (251, 192, 255), (141, 189, 244), (189, 231, 127), (251, 127, 140)]","[[232, 124, 178], [216, 159, 105], [192, 126, 96], [221, 98, 174], [173, 176, 143]]","[[173, 176, 143], [192, 126, 96], [216, 159, 105], [221, 98, 174], [232, 124, 178]]"
"['galaxy', 'trip']","[(202, 233, 249), (96, 116, 186), (114, 76, 163), (54, 36, 73), (24, 5, 32)]","[[231, 121, 117], [128, 140, 89], [103, 162, 87], [46, 145, 108], [9, 140, 115]]","[[9, 140, 115], [46, 145, 108], [103, 162, 87], [128, 140, 89], [231, 121, 117]]"
"['pretty', 'peach']","[(255, 232, 213), (248, 180, 170), (240, 128, 128), (220, 144, 169), (199, 160, 210)]","[[238, 133, 140], [202, 151, 143], [169, 171, 148], [174, 160, 127], [181, 151, 108]]","[[169, 171, 148], [174, 160, 127], [181, 151, 108], [202, 151, 143], [238, 133, 140]]"
['obsolete'],"[(231, 213, 198), (184, 148, 129), (161, 130, 119), (168, 141, 125), (132, 110, 108)]","[[220, 132, 138], [164, 139, 143], [145, 138, 138], [155, 136, 140], [124, 136, 132]]","[[124, 136, 132], [145, 138, 138], [155, 136, 140], [164, 139, 143], [220, 132, 138]]"
['barren'],"[(206, 205, 198), (219, 225, 234), (152, 149, 140), (248, 239, 230), (209, 203, 190)]","[[210, 127, 132], [228, 128, 123], [157, 127, 133], [242, 130, 133], [209, 128, 135]]","[[157, 127, 133], [209, 128, 135], [210, 127, 132], [228, 128, 123], [242, 130, 133]]"
"['tropical', 'sun']","[(110, 11, 8), (232, 71, 26), (227, 104, 23), (227, 34, 26), (235, 175, 29)]","[[57, 169, 158], [137, 188, 186], [149, 172, 190], [125, 197, 182], [191, 139, 202]]","[[57, 169, 158], [125, 197, 182], [137, 188, 186], [149, 172, 190], [191, 139, 202]]"
"['bloody', 'mary']","[(137, 7, 7), (212, 121, 121), (116, 44, 44), (84, 5, 5), (96, 66, 66)]","[[72, 177, 166], [155, 163, 144], [73, 160, 144], [40, 162, 150], [80, 141, 133]]","[[40, 162, 150], [72, 177, 166], [73, 160, 144], [80, 141, 133], [155, 163, 144]]"
['abused'],"[(94, 177, 227), (70, 131, 199), (42, 7, 88), (23, 20, 60), (75, 59, 92)]","[[176, 117, 95], [137, 130, 87], [30, 163, 87], [23, 143, 103], [71, 142, 111]]","[[23, 143, 103], [30, 163, 87], [71, 142, 111], [137, 130, 87], [176, 117, 95]]"
['coal'],"[(0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[[0, 128, 128], [0, 128, 128], [0, 128, 128], [0, 128, 128], [0, 128, 128]]","[[0, 128, 128], [0, 128, 128], [0, 128, 128], [0, 128, 128], [0, 128, 128]]"
"['the', 'blazing', 'sun', 'in', 'the', 'morning']","[(253, 122, 33), (240, 255, 0), (255, 0, 0), (101, 0, 51), (209, 249, 255)]","[[167, 173, 194], [245, 100, 221], [136, 208, 195], [51, 171, 127], [243, 116, 121]]","[[51, 171, 127], [136, 208, 195], [167, 173, 194], [243, 116, 121], [245, 100, 221]]"
"['shades', 'of', 'mustard']","[(255, 167, 0), (204, 123, 0), (208, 168, 0), (191, 154, 0), (156, 126, 0)]","[[192, 151, 207], [150, 153, 194], [180, 130, 201], [166, 130, 197], [138, 129, 187]]","[[138, 129, 187], [150, 153, 194], [166, 130, 197], [180, 130, 201], [192, 151, 207]]"
"['maple', 'bliss']","[(33, 17, 2), (62, 18, 6), (124, 10, 27), (161, 29, 65), (248, 229, 238)]","[[17, 134, 137], [32, 149, 145], [65, 174, 152], [91, 182, 142], [236, 136, 126]]","[[17, 134, 137], [32, 149, 145], [65, 174, 152], [91, 182, 142], [236, 136, 126]]"
"['sweet', 'privacy']","[(209, 245, 255), (181, 242, 255), (189, 223, 255), (191, 192, 255), (232, 193, 255)]","[[241, 118, 119], [234, 112, 116], [223, 124, 109], [203, 141, 97], [212, 153, 103]]","[[203, 141, 97], [212, 153, 103], [223, 124, 109], [234, 112, 116], [241, 118, 119]]"
"['citrus', 'lime']","[(92, 118, 0), (101, 126, 14), (148, 167, 78), (205, 201, 89), (214, 210, 109)]","[[117, 104, 179], [125, 104, 179], [167, 108, 171], [202, 115, 183], [211, 116, 178]]","[[117, 104, 179], [125, 104, 179], [167, 108, 171], [202, 115, 183], [211, 116, 178]]"
"['rusty', 'copper']","[(17, 164, 119), (248, 104, 26), (200, 109, 61), (135, 101, 83), (100, 86, 79)]","[[153, 82, 142], [157, 180, 193], [142, 160, 170], [117, 139, 144], [96, 132, 134]]","[[96, 132, 134], [117, 139, 144], [142, 160, 170], [153, 82, 142], [157, 180, 193]]"
"['calm', 'and', 'cool']","[(174, 255, 255), (0, 249, 249), (132, 247, 0), (0, 198, 198), (0, 109, 109)]","[[242, 104, 120], [227, 81, 114], [224, 64, 212], [185, 88, 116], [105, 102, 120]]","[[105, 102, 120], [185, 88, 116], [224, 64, 212], [227, 81, 114], [242, 104, 120]]"
"['warm', 'and', 'vibrant']","[(255, 192, 89), (244, 118, 13), (232, 40, 138), (253, 0, 129), (70, 56, 58)]","[[208, 140, 187], [162, 172, 197], [134, 203, 122], [139, 212, 131], [64, 135, 129]]","[[64, 135, 129], [134, 203, 122], [139, 212, 131], [162, 172, 197], [208, 140, 187]]"
['liquid'],"[(255, 255, 255), (52, 172, 220), (44, 62, 80), (158, 239, 229), (4, 118, 246)]","[[255, 128, 128], [168, 111, 94], [65, 126, 115], [228, 101, 125], [131, 150, 57]]","[[65, 126, 115], [131, 150, 57], [168, 111, 94], [228, 101, 125], [255, 128, 128]]"
"['bahama', 'shore']","[(178, 165, 111), (186, 176, 132), (71, 144, 166), (96, 163, 183), (134, 184, 203)]","[[173, 125, 158], [183, 125, 152], [143, 112, 109], [162, 112, 111], [184, 116, 113]]","[[143, 112, 109], [162, 112, 111], [173, 125, 158], [183, 125, 152], [184, 116, 113]]"
"['mossy', 'rock']","[(9, 54, 4), (0, 72, 16), (0, 83, 7), (11, 95, 0), (22, 100, 24)]","[[48, 102, 152], [66, 95, 155], [76, 90, 162], [88, 87, 169], [93, 89, 163]]","[[48, 102, 152], [66, 95, 155], [76, 90, 162], [88, 87, 169], [93, 89, 163]]"
"['pink', 'punk']","[(255, 42, 106), (255, 93, 143), (255, 135, 171), (255, 166, 193), (255, 196, 214)]","[[143, 206, 147], [160, 193, 134], [180, 177, 130], [198, 164, 128], [216, 152, 127]]","[[143, 206, 147], [160, 193, 134], [180, 177, 130], [198, 164, 128], [216, 152, 127]]"
"['black', 'cat']","[(0, 0, 0), (28, 28, 28), (45, 42, 42), (60, 56, 56), (79, 79, 79)]","[[0, 128, 128], [26, 128, 128], [44, 129, 128], [61, 130, 129], [86, 128, 128]]","[[0, 128, 128], [26, 128, 128], [44, 129, 128], [61, 130, 129], [86, 128, 128]]"
"['autumn', 'yellow']","[(156, 110, 0), (184, 140, 32), (195, 149, 39), (193, 155, 63), (189, 160, 91)]","[[127, 138, 185], [155, 135, 187], [164, 135, 188], [168, 132, 180], [171, 130, 168]]","[[127, 138, 185], [155, 135, 187], [164, 135, 188], [168, 132, 180], [171, 130, 168]]"
"['autumn', 'red']","[(180, 64, 0), (184, 74, 14), (189, 84, 27), (186, 96, 46), (159, 81, 38)]","[[110, 173, 182], [117, 170, 180], [124, 167, 178], [129, 161, 172], [111, 157, 167]]","[[110, 173, 182], [111, 157, 167], [117, 170, 180], [124, 167, 178], [129, 161, 172]]"
"['roses', 'are', 'red']","[(146, 14, 14), (156, 24, 24), (161, 29, 29), (169, 46, 46), (180, 66, 66)]","[[78, 179, 166], [86, 180, 164], [89, 180, 163], [99, 178, 158], [113, 174, 153]]","[[78, 179, 166], [86, 180, 164], [89, 180, 163], [99, 178, 158], [113, 174, 153]]"
"['blood', 'of', 'a', 'queen']","[(73, 8, 8), (88, 7, 7), (101, 6, 6), (111, 0, 0), (122, 1, 1)]","[[34, 158, 145], [43, 163, 151], [50, 167, 156], [55, 171, 161], [62, 174, 164]]","[[34, 158, 145], [43, 163, 151], [50, 167, 156], [55, 171, 161], [62, 174, 164]]"
"['warm', 'home']","[(232, 228, 172), (167, 66, 92), (242, 211, 103), (86, 55, 97), (243, 130, 95)]","[[229, 121, 156], [109, 172, 134], [217, 126, 185], [72, 150, 109], [169, 168, 166]]","[[72, 150, 109], [109, 172, 134], [169, 168, 166], [217, 126, 185], [229, 121, 156]]"
"['burnt', 'coffee']","[(37, 37, 37), (133, 68, 66), (190, 155, 123), (47, 47, 47), (255, 177, 65)]","[[37, 128, 128], [94, 156, 142], [169, 136, 150], [49, 128, 128], [199, 147, 194]]","[[37, 128, 128], [49, 128, 128], [94, 156, 142], [169, 136, 150], [199, 147, 194]]"
"['forest', 'night']","[(41, 80, 93), (1, 34, 53), (1, 15, 28), (52, 15, 25), (71, 33, 33)]","[[81, 118, 116], [31, 125, 112], [10, 127, 118], [26, 148, 131], [46, 146, 136]]","[[10, 127, 118], [26, 148, 131], [31, 125, 112], [46, 146, 136], [81, 118, 116]]"
['seafoam'],"[(188, 255, 229), (162, 255, 215), (117, 255, 210), (78, 255, 206), (0, 255, 210)]","[[243, 102, 134], [238, 92, 138], [234, 80, 138], [231, 72, 139], [229, 68, 135]]","[[229, 68, 135], [231, 72, 139], [234, 80, 138], [238, 92, 138], [243, 102, 134]]"
['woodsman'],"[(54, 32, 19), (145, 35, 35), (185, 92, 38), (167, 133, 106), (120, 116, 48)]","[[38, 137, 141], [83, 173, 156], [127, 162, 174], [148, 137, 148], [122, 120, 165]]","[[38, 137, 141], [83, 173, 156], [122, 120, 165], [127, 162, 174], [148, 137, 148]]"
"['and', 'at', 'the', 'final', 'hour']","[(2, 5, 43), (3, 0, 26), (0, 2, 19), (2, 0, 13), (255, 255, 255)]","[[7, 138, 105], [2, 134, 115], [2, 130, 120], [1, 130, 123], [255, 128, 128]]","[[1, 130, 123], [2, 130, 120], [2, 134, 115], [7, 138, 105], [255, 128, 128]]"
['stumbling'],"[(33, 75, 23), (21, 13, 34), (35, 56, 42), (114, 126, 46), (20, 10, 30)]","[[71, 102, 154], [13, 136, 116], [55, 116, 134], [128, 112, 169], [11, 136, 117]]","[[11, 136, 117], [13, 136, 116], [55, 116, 134], [71, 102, 154], [128, 112, 169]]"
"['apple', 'field']","[(0, 51, 0), (184, 45, 32), (157, 173, 108), (228, 202, 93), (214, 204, 204)]","[[44, 100, 152], [106, 182, 169], [174, 112, 160], [208, 124, 185], [211, 131, 129]]","[[44, 100, 152], [106, 182, 169], [174, 112, 160], [208, 124, 185], [211, 131, 129]]"
"['spring', 'picnic']","[(187, 239, 148), (84, 179, 106), (163, 255, 244), (146, 231, 239), (255, 159, 159)]","[[227, 96, 167], [168, 84, 157], [240, 98, 125], [221, 104, 116], [192, 164, 143]]","[[168, 84, 157], [192, 164, 143], [221, 104, 116], [227, 96, 167], [240, 98, 125]]"
"['warm', 'and', 'fuzzy']","[(255, 194, 113), (255, 177, 65), (233, 42, 39), (255, 124, 106), (152, 25, 49)]","[[210, 141, 177], [199, 147, 194], [130, 198, 178], [171, 176, 161], [84, 179, 148]]","[[84, 179, 148], [130, 198, 178], [171, 176, 161], [199, 147, 194], [210, 141, 177]]"
"['modern', 'web']","[(61, 57, 53), (0, 182, 173), (247, 247, 247), (188, 188, 188), (122, 122, 122)]","[[62, 129, 131], [171, 88, 122], [248, 128, 128], [194, 128, 128], [131, 128, 128]]","[[62, 129, 131], [131, 128, 128], [171, 88, 122], [194, 128, 128], [248, 128, 128]]"
"['warm', 'and', 'fuzzy']","[(255, 211, 154), (255, 171, 110), (162, 35, 33), (236, 179, 255), (237, 77, 74)]","[[222, 136, 162], [196, 153, 172], [92, 179, 162], [205, 162, 98], [143, 189, 165]]","[[92, 179, 162], [143, 189, 165], [196, 153, 172], [205, 162, 98], [222, 136, 162]]"
"['hospital', 'ceiling']","[(129, 196, 67), (90, 95, 86), (255, 255, 255), (255, 255, 255), (255, 255, 255)]","[[185, 86, 184], [101, 124, 132], [255, 128, 128], [255, 128, 128], [255, 128, 128]]","[[101, 124, 132], [185, 86, 184], [255, 128, 128], [255, 128, 128], [255, 128, 128]]"
"['stormy', 'sea', 'ahead']","[(7, 80, 90), (19, 84, 82), (28, 105, 99), (10, 120, 117), (15, 148, 124)]","[[78, 112, 116], [82, 108, 123], [102, 104, 125], [116, 100, 122], [140, 90, 131]]","[[78, 112, 116], [82, 108, 123], [102, 104, 125], [116, 100, 122], [140, 90, 131]]"
['steady'],"[(173, 211, 114), (93, 179, 149), (96, 142, 151), (93, 88, 136), (144, 127, 168)]","[[204, 100, 172], [171, 95, 135], [143, 115, 118], [101, 142, 102], [143, 143, 109]]","[[101, 142, 102], [143, 115, 118], [143, 143, 109], [171, 95, 135], [204, 100, 172]]"
"['pastel', 'watermelon']","[(255, 125, 145), (255, 173, 185), (191, 236, 214), (255, 255, 255), (223, 223, 223)]","[[173, 179, 141], [201, 160, 134], [229, 109, 134], [255, 128, 128], [227, 128, 128]]","[[173, 179, 141], [201, 160, 134], [227, 128, 128], [229, 109, 134], [255, 128, 128]]"
"['egypt', 'yellow']","[(254, 204, 51), (254, 204, 102), (204, 153, 51), (254, 153, 51), (254, 254, 153)]","[[215, 132, 204], [216, 135, 185], [169, 137, 186], [184, 159, 194], [249, 114, 176]]","[[169, 137, 186], [184, 159, 194], [215, 132, 204], [216, 135, 185], [249, 114, 176]]"
"['apple', 'orchard']","[(239, 209, 178), (219, 147, 76), (219, 219, 76), (182, 37, 38), (0, 51, 0)]","[[218, 134, 147], [170, 148, 176], [217, 111, 195], [103, 184, 165], [44, 100, 152]]","[[44, 100, 152], [103, 184, 165], [170, 148, 176], [217, 111, 195], [218, 134, 147]]"
"['space', 'purple']","[(0, 0, 12), (9, 5, 56), (42, 36, 144), (90, 40, 109), (177, 103, 198)]","[[1, 130, 123], [10, 146, 97], [58, 166, 70], [67, 163, 97], [141, 173, 90]]","[[1, 130, 123], [10, 146, 97], [58, 166, 70], [67, 163, 97], [141, 173, 90]]"
"['sweet', 'talk']","[(244, 169, 169), (81, 223, 212), (199, 160, 210), (246, 233, 202), (97, 51, 129)]","[[195, 156, 139], [208, 88, 122], [181, 151, 108], [236, 127, 145], [78, 164, 92]]","[[78, 164, 92], [181, 151, 108], [195, 156, 139], [208, 88, 122], [236, 127, 145]]"
"['cool', 'and', 'professional']","[(41, 182, 219), (29, 226, 255), (27, 34, 69), (250, 250, 250), (255, 255, 255)]","[[175, 105, 99], [211, 94, 101], [37, 137, 105], [251, 128, 128], [255, 128, 128]]","[[37, 137, 105], [175, 105, 99], [211, 94, 101], [251, 128, 128], [255, 128, 128]]"
"['mountains', 'at', 'dusk']","[(201, 130, 99), (139, 103, 94), (73, 64, 60), (66, 58, 53), (41, 39, 39)]","[[156, 152, 156], [120, 141, 139], [71, 131, 132], [64, 130, 132], [40, 129, 128]]","[[40, 129, 128], [64, 130, 132], [71, 131, 132], [120, 141, 139], [156, 152, 156]]"
['abandon'],"[(92, 118, 137), (74, 93, 114), (51, 70, 96), (44, 54, 69), (41, 187, 191)]","[[123, 123, 115], [99, 126, 114], [75, 128, 110], [57, 128, 117], [177, 93, 115]]","[[57, 128, 117], [75, 128, 110], [99, 126, 114], [123, 123, 115], [177, 93, 115]]"
['impatient'],"[(227, 227, 227), (178, 110, 110), (120, 147, 161), (148, 193, 165), (233, 240, 176)]","[[230, 128, 128], [137, 155, 139], [151, 122, 117], [189, 107, 137], [237, 116, 158]]","[[137, 155, 139], [151, 122, 117], [189, 107, 137], [230, 128, 128], [237, 116, 158]]"
['sieep'],"[(255, 255, 255), (238, 238, 238), (218, 223, 227), (203, 206, 210), (182, 187, 195)]","[[255, 128, 128], [240, 128, 128], [226, 127, 125], [211, 128, 126], [193, 128, 123]]","[[193, 128, 123], [211, 128, 126], [226, 127, 125], [240, 128, 128], [255, 128, 128]]"
"['lie', 'down']","[(255, 234, 245), (253, 223, 255), (247, 219, 255), (238, 219, 255), (228, 227, 255)]","[[241, 137, 125], [235, 144, 116], [231, 144, 114], [229, 141, 113], [232, 134, 115]]","[[229, 141, 113], [231, 144, 114], [232, 134, 115], [235, 144, 116], [241, 137, 125]]"
['ieave'],"[(22, 21, 54), (40, 53, 77), (62, 85, 116), (118, 131, 154), (192, 203, 210)]","[[22, 140, 106], [56, 130, 112], [91, 128, 108], [139, 129, 114], [207, 126, 123]]","[[22, 140, 106], [56, 130, 112], [91, 128, 108], [139, 129, 114], [207, 126, 123]]"
"['spring', 'beach']","[(253, 248, 245), (231, 142, 130), (189, 210, 213), (243, 212, 209), (0, 154, 157)]","[[250, 129, 130], [173, 160, 149], [211, 122, 124], [223, 138, 133], [147, 96, 117]]","[[147, 96, 117], [173, 160, 149], [211, 122, 124], [223, 138, 133], [250, 129, 130]]"
"['cold', 'wind']","[(151, 192, 238), (110, 145, 240), (166, 145, 236), (222, 160, 244), (246, 192, 246)]","[[195, 125, 101], [157, 143, 76], [166, 155, 85], [190, 165, 95], [214, 156, 109]]","[[157, 143, 76], [166, 155, 85], [190, 165, 95], [195, 125, 101], [214, 156, 109]]"
"['green', 'peach']","[(17, 27, 28), (29, 55, 60), (46, 93, 75), (250, 133, 130), (251, 159, 150)]","[[23, 124, 126], [54, 120, 122], [91, 107, 133], [175, 172, 150], [190, 161, 147]]","[[23, 124, 126], [54, 120, 122], [91, 107, 133], [175, 172, 150], [190, 161, 147]]"
['stunning'],"[(0, 0, 0), (238, 238, 238), (0, 0, 255), (0, 255, 0), (156, 18, 118)]","[[0, 128, 128], [240, 128, 128], [82, 207, 20], [224, 42, 211], [91, 188, 107]]","[[0, 128, 128], [82, 207, 20], [91, 188, 107], [224, 42, 211], [240, 128, 128]]"
"['sweet', 'present']","[(252, 176, 179), (254, 199, 211), (205, 183, 191), (240, 223, 240), (234, 225, 255)]","[[202, 156, 138], [218, 149, 130], [195, 137, 127], [231, 137, 122], [232, 137, 115]]","[[195, 137, 127], [202, 156, 138], [218, 149, 130], [231, 137, 122], [232, 137, 115]]"
"['dwindling', 'into', 'madness']","[(86, 22, 22), (79, 20, 20), (60, 12, 12), (51, 10, 10), (39, 7, 7)]","[[47, 157, 145], [42, 156, 144], [28, 151, 140], [22, 149, 137], [14, 143, 134]]","[[14, 143, 134], [22, 149, 137], [28, 151, 140], [42, 156, 144], [47, 157, 145]]"
"['brown', 'eyes']","[(94, 72, 30), (84, 42, 14), (99, 57, 15), (96, 49, 1), (69, 24, 0)]","[[82, 132, 156], [57, 145, 154], [72, 143, 160], [66, 146, 164], [38, 148, 151]]","[[38, 148, 151], [57, 145, 154], [66, 146, 164], [72, 143, 160], [82, 132, 156]]"
"['fear', 'chokes', 'you']","[(47, 70, 109), (54, 44, 88), (53, 41, 66), (56, 31, 62), (49, 31, 54)]","[[76, 132, 103], [54, 144, 103], [48, 140, 114], [42, 146, 113], [38, 142, 116]]","[[38, 142, 116], [42, 146, 113], [48, 140, 114], [54, 144, 103], [76, 132, 103]]"
"['sweet', 'love']","[(255, 173, 173), (214, 123, 123), (189, 77, 77), (169, 45, 45), (156, 20, 20)]","[[200, 158, 140], [157, 163, 144], [122, 173, 151], [99, 178, 158], [85, 181, 166]]","[[85, 181, 166], [99, 178, 158], [122, 173, 151], [157, 163, 144], [200, 158, 140]]"
['exposed'],"[(255, 234, 243), (255, 223, 236), (255, 227, 237), (234, 225, 255), (243, 216, 255)]","[[241, 137, 126], [234, 141, 126], [236, 139, 127], [232, 137, 115], [228, 144, 112]]","[[228, 144, 112], [232, 137, 115], [234, 141, 126], [236, 139, 127], [241, 137, 126]]"
"['midnight', 'sky']","[(23, 16, 94), (24, 11, 84), (21, 9, 73), (14, 3, 64), (0, 1, 54)]","[[30, 158, 83], [24, 158, 87], [19, 155, 91], [12, 153, 93], [7, 145, 96]]","[[7, 145, 96], [12, 153, 93], [19, 155, 91], [24, 158, 87], [30, 158, 83]]"
['coid'],"[(186, 255, 176), (182, 255, 220), (216, 254, 255), (169, 227, 255), (116, 216, 255)]","[[240, 92, 159], [241, 98, 138], [248, 116, 123], [223, 116, 109], [209, 109, 100]]","[[209, 109, 100], [223, 116, 109], [240, 92, 159], [241, 98, 138], [248, 116, 123]]"
"['fading', 'smoke']","[(232, 243, 249), (236, 250, 255), (242, 248, 255), (228, 238, 242), (255, 255, 255)]","[[243, 125, 124], [248, 124, 124], [248, 127, 124], [238, 125, 125], [255, 128, 128]]","[[238, 125, 125], [243, 125, 124], [248, 124, 124], [248, 127, 124], [255, 128, 128]]"
"['', 'shades', 'of', 'green']","[(0, 156, 26), (34, 182, 0), (38, 204, 0), (123, 227, 130), (210, 242, 212)]","[[143, 69, 181], [165, 64, 193], [183, 58, 199], [210, 78, 166], [236, 112, 139]]","[[143, 69, 181], [165, 64, 193], [183, 58, 199], [210, 78, 166], [236, 112, 139]]"
"['beach', 'waik']","[(253, 239, 219), (255, 233, 191), (221, 255, 245), (206, 229, 255), (210, 204, 255)]","[[242, 129, 139], [238, 129, 151], [248, 115, 129], [230, 126, 113], [214, 140, 104]]","[[214, 140, 104], [230, 126, 113], [238, 129, 151], [242, 129, 139], [248, 115, 129]]"
"['too', 'late']","[(116, 101, 180), (75, 82, 137), (80, 77, 114), (113, 108, 131), (142, 140, 165)]","[[121, 153, 88], [93, 141, 96], [88, 138, 107], [119, 135, 116], [151, 134, 115]]","[[88, 138, 107], [93, 141, 96], [119, 135, 116], [121, 153, 88], [151, 134, 115]]"
"['soothing', 'blue', 'balance']","[(31, 141, 186), (69, 179, 224), (135, 206, 235), (201, 233, 246), (255, 255, 255)]","[[140, 114, 96], [175, 111, 96], [202, 113, 107], [231, 120, 118], [255, 128, 128]]","[[140, 114, 96], [175, 111, 96], [202, 113, 107], [231, 120, 118], [255, 128, 128]]"
"['sugar', 'coated', 'sadness']","[(112, 230, 219), (59, 207, 200), (64, 139, 234), (56, 107, 234), (0, 80, 164)]","[[216, 92, 123], [194, 89, 120], [147, 136, 73], [124, 155, 59], [89, 141, 77]]","[[89, 141, 77], [124, 155, 59], [147, 136, 73], [194, 89, 120], [216, 92, 123]]"
['optimism'],"[(95, 222, 171), (52, 194, 173), (52, 200, 252), (103, 129, 243), (111, 89, 224)]","[[205, 81, 143], [181, 86, 128], [193, 107, 92], [146, 152, 68], [119, 171, 62]]","[[119, 171, 62], [146, 152, 68], [181, 86, 128], [193, 107, 92], [205, 81, 143]]"
['realization'],"[(206, 173, 243), (131, 108, 215), (135, 41, 164), (32, 0, 61), (33, 1, 31)]","[[193, 153, 98], [133, 162, 76], [94, 185, 81], [15, 158, 97], [10, 147, 116]]","[[10, 147, 116], [15, 158, 97], [94, 185, 81], [133, 162, 76], [193, 153, 98]]"
['girlfriend'],"[(243, 120, 185), (252, 54, 168), (207, 0, 56), (106, 0, 39), (33, 0, 26)]","[[170, 182, 116], [148, 208, 113], [111, 198, 159], [53, 172, 137], [9, 146, 120]]","[[9, 146, 120], [53, 172, 137], [111, 198, 159], [148, 208, 113], [170, 182, 116]]"
"['hurt', 'feelings']","[(133, 157, 162), (117, 122, 147), (115, 98, 138), (97, 69, 129), (60, 31, 125)]","[[161, 121, 123], [132, 132, 114], [114, 143, 108], [89, 153, 99], [55, 165, 80]]","[[55, 165, 80], [89, 153, 99], [114, 143, 108], [132, 132, 114], [161, 121, 123]]"
"['fruit', 'at', 'sunset']","[(150, 74, 55), (223, 126, 115), (139, 18, 43), (221, 144, 81), (255, 251, 153)]","[[104, 158, 154], [161, 164, 151], [76, 177, 147], [169, 151, 173], [247, 116, 175]]","[[76, 177, 147], [104, 158, 154], [161, 164, 151], [169, 151, 173], [247, 116, 175]]"
"['irish', 'luck']","[(26, 120, 37), (82, 163, 42), (96, 210, 98), (88, 184, 84), (72, 163, 58)]","[[112, 84, 165], [153, 82, 180], [193, 73, 173], [172, 80, 170], [152, 80, 173]]","[[112, 84, 165], [152, 80, 173], [153, 82, 180], [172, 80, 170], [193, 73, 173]]"
"['sleep', 'walker']","[(39, 17, 17), (5, 32, 45), (48, 62, 52), (45, 50, 60), (44, 33, 45)]","[[20, 139, 132], [28, 123, 116], [63, 120, 132], [53, 129, 121], [37, 136, 122]]","[[20, 139, 132], [28, 123, 116], [37, 136, 122], [53, 129, 121], [63, 120, 132]]"
"['pastel', 'extremist']","[(242, 223, 223), (235, 244, 244), (238, 216, 253), (253, 253, 233), (219, 255, 218)]","[[230, 134, 130], [244, 125, 127], [227, 142, 113], [252, 125, 138], [247, 110, 142]]","[[227, 142, 113], [230, 134, 130], [244, 125, 127], [247, 110, 142], [252, 125, 138]]"
"['green', 'spring', 'day']","[(237, 255, 228), (166, 227, 160), (239, 240, 137), (124, 195, 125), (202, 204, 194)]","[[250, 117, 139], [216, 96, 155], [237, 113, 177], [186, 92, 156], [208, 126, 133]]","[[186, 92, 156], [208, 126, 133], [216, 96, 155], [237, 113, 177], [250, 117, 139]]"
"['old', 'faded', 'office']","[(238, 238, 238), (221, 221, 221), (204, 204, 204), (17, 65, 113), (115, 127, 137)]","[[240, 128, 128], [225, 128, 128], [209, 128, 128], [69, 131, 96], [134, 126, 121]]","[[69, 131, 96], [134, 126, 121], [209, 128, 128], [225, 128, 128], [240, 128, 128]]"
"['light', 'room']","[(204, 168, 112), (244, 240, 195), (220, 222, 218), (251, 252, 244), (205, 224, 179)]","[[181, 134, 162], [240, 122, 150], [225, 127, 130], [252, 126, 132], [221, 114, 148]]","[[181, 134, 162], [221, 114, 148], [225, 127, 130], [240, 122, 150], [252, 126, 132]]"
"['blue', 'peach']","[(17, 27, 28), (26, 42, 56), (46, 76, 93), (250, 133, 130), (251, 159, 150)]","[[23, 124, 126], [42, 126, 117], [78, 122, 115], [175, 172, 150], [190, 161, 147]]","[[23, 124, 126], [42, 126, 117], [78, 122, 115], [175, 172, 150], [190, 161, 147]]"
"['cotton', 'candy']","[(241, 209, 255), (203, 235, 251), (211, 255, 209), (255, 253, 205), (251, 229, 201)]","[[224, 147, 110], [233, 121, 117], [245, 106, 145], [251, 121, 151], [235, 131, 144]]","[[224, 147, 110], [233, 121, 117], [235, 131, 144], [245, 106, 145], [251, 121, 151]]"
"['into', 'the', 'night']","[(37, 26, 69), (50, 36, 67), (71, 59, 84), (70, 55, 30), (141, 131, 87)]","[[33, 146, 103], [44, 142, 111], [69, 139, 115], [61, 131, 146], [139, 125, 153]]","[[33, 146, 103], [44, 142, 111], [61, 131, 146], [69, 139, 115], [139, 125, 153]]"
"['soothing', 'blue']","[(69, 179, 224), (135, 206, 235), (201, 233, 246), (243, 250, 253), (255, 255, 255)]","[[175, 111, 96], [202, 113, 107], [231, 120, 118], [249, 126, 126], [255, 128, 128]]","[[175, 111, 96], [202, 113, 107], [231, 120, 118], [249, 126, 126], [255, 128, 128]]"
"['cute', 'but', 'insane']","[(255, 255, 255), (255, 219, 242), (114, 255, 101), (202, 107, 255), (214, 58, 255)]","[[255, 128, 128], [232, 144, 121], [229, 61, 189], [158, 189, 69], [144, 211, 61]]","[[144, 211, 61], [158, 189, 69], [229, 61, 189], [232, 144, 121], [255, 128, 128]]"
"['coffee', 'mix']","[(73, 39, 16), (109, 64, 34), (133, 87, 56), (169, 121, 115), (199, 158, 151)]","[[50, 142, 150], [81, 145, 154], [105, 144, 154], [141, 146, 139], [175, 142, 137]]","[[50, 142, 150], [81, 145, 154], [105, 144, 154], [141, 146, 139], [175, 142, 137]]"
"['cold', 'front']","[(139, 189, 216), (131, 163, 189), (124, 120, 156), (135, 96, 137), (109, 70, 114)]","[[189, 118, 109], [167, 123, 111], [133, 137, 109], [117, 151, 112], [91, 153, 109]]","[[91, 153, 109], [117, 151, 112], [133, 137, 109], [167, 123, 111], [189, 118, 109]]"
